id,name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,estimated_annual_revenue
1424247502403318488,Spacious 3BR Home with Backyard • Great Location,Unknown,Humewood-Cedarvale,Entire home/apt,185.0,3.0,14,1.56,1,364,11544.0
1424312529409035103,Yours Comfy Basement,Unknown,Agincourt North,Entire home/apt,120.0,1.0,54,6.53,1,121,31344.0
1424620095013472416,Wild Flower C| Sleep 3 + Free Parking (shared Bath,Unknown,West Hill,Private room,97.0,1.0,13,1.3,2,291,5044.000000000001
1424664739645894631,The Library Suite – 2 Twins or 1 King bed,Unknown,Cabbagetown-South St.James Town,Private room,143.0,3.0,11,1.83,7,143,10467.6
1424753872730560924,Balcony with private room and shared bathroom,Unknown,Moss Park,Private room,36.0,28.0,2,0.29,10,297,417.59999999999997
1424969262327334345,Luxury Lake + CN Tower View with Swing at Balcony,Unknown,Waterfront Communities-The Island,Entire home/apt,313.0,1.0,83,8.5,2,260,106420.0
1425054325343636625,Corporate-Class 1BR Yorkville Executive Residence,Unknown,Annex,Entire home/apt,211.0,28.0,0,0.0,10,365,0.0
1425488508514879098,Prestigious Reno New House,Unknown,Newtonbrook East,Entire home/apt,108.0,28.0,1,0.19,5,201,820.8000000000002
1425559290660659688,Homely 3BR-4Beds Garden Retreat w/BBQ & Parking,Unknown,South Riverdale,Entire home/apt,402.0,2.0,36,3.69,1,165,59335.20000000001
1425690100558850499,Cozy Basement Apt with Separate Entrance,Unknown,West Hill,Entire home/apt,86.0,28.0,0,0.0,1,365,0.0
1425764029586411071,Private Room near Airport,Unknown,Islington-City Centre West,Private room,49.0,28.0,2,0.26,1,353,509.6
1426041059525187508,Modern 1-Bedroom + Den Loft,Unknown,Waterfront Communities-The Island,Entire home/apt,226.0,28.0,0,0.0,1,358,0.0
1426079509110851941,Downtown @ Dundas Square with City and Lake Views,Unknown,Church-Yonge Corridor,Entire home/apt,375.0,2.0,18,2.15,1,68,32250.0
1426240859000318797,Cozy City Sanctuary,Unknown,Church-Yonge Corridor,Entire home/apt,305.0,2.0,21,2.51,1,351,30621.999999999996
1426504771503238033,"Karibu Paradise, Toronto.",Unknown,Bay Street Corridor,Entire home/apt,122.0,28.0,1,0.13,1,88,634.4
1426510627296442821,"Modern condo, Lake & CN Tower View - Large Terrace",Unknown,South Parkdale,Entire home/apt,118.0,28.0,2,0.59,1,338,2784.8
1426761176758734983,"Comfy Private Bed & Bath, Close to Everything",Unknown,Palmerston-Little Italy,Private room,149.0,1.0,28,3.33,3,201,19846.800000000003
1426762851959776259,1+1 Bedroom 2 bath near Toronto DistilleryDistrict,Unknown,Moss Park,Entire home/apt,114.0,28.0,2,0.3,13,250,1368.0
1426785680126161232,"Comfy Private Bed & Bath, Close to Everything",Unknown,Palmerston-Little Italy,Private room,134.0,1.0,27,2.76,3,236,14793.599999999999
1426813260792229304,Modern Private One Bedroom Suite with Parking,Unknown,Pleasant View,Entire home/apt,206.0,1.0,21,2.67,1,331,22000.8
1426941450494494136,Room and a basement,Unknown,Mimico (includes Humber Bay Shores),Private room,144.0,1.0,0,0.0,2,46,0.0
1426966906374898756,FinnyGarden09,Unknown,Steeles,Private room,67.0,1.0,14,1.43,5,365,3832.4
1427022757619221646,"brand new luxury house, with 4 bedrooms,3 bathroom",Unknown,Lansing-Westgate,Entire home/apt,399.0,4.0,4,0.46,2,49,7341.600000000001
1427023945244126931,Nice bedroom,Unknown,Kennedy Park,Private room,28.0,28.0,4,0.47,1,173,526.4
1427064280257534009,Fabulous 4 bedroom home,Unknown,Newtonbrook East,Entire home/apt,205.0,3.0,35,4.1,2,232,33620.0
1427135081060536739,Upscale Penthouse | Complete Toronto Skyline Views,Unknown,Waterfront Communities-The Island,Entire home/apt,371.0,1.0,5,0.53,1,250,7865.200000000001
1427483813172124447,Superior 1Bd+DEN Apartment with Balcony,Unknown,Niagara,Entire home/apt,271.0,1.0,2,0.47,1,10,5094.8
1427581398294284451,Luxury Retreat in the heart of Toronto,Unknown,Waterfront Communities-The Island,Entire home/apt,569.0,1.0,1,1.0,1,134,22760.0
1427615838556270311,2025 Designed | 2Bed+2BA Rooftop Pool,Unknown,Church-Yonge Corridor,Entire home/apt,128.0,28.0,4,0.49,6,258,2508.8
1427638675317394846,5-Star Newly Renovated Suite|HWY 404|Fairview Mall,Unknown,Pleasant View,Entire home/apt,220.0,2.0,31,3.23,1,162,28423.999999999996
1427661752979726079,Beautiful Private WaterFront Apt,Unknown,The Beaches,Entire home/apt,139.0,28.0,3,0.45,4,302,2502.0000000000005
1427743982620454806,WFH Space|Midtown TO| 5 min walk to Yonge/Eglinton,Unknown,Mount Pleasant West,Entire home/apt,234.0,31.0,2,0.3,1,267,2808.0
1427844771526587374,Prestigious Rosedale Neighbourhood 4 BR Home,Unknown,Rosedale-Moore Park,Entire home/apt,564.0,3.0,4,0.53,1,236,11956.800000000001
1427912358433772267,North York house - Master room,Unknown,Willowdale West,Private room,151.0,4.0,4,0.48,3,357,2899.2
1427942574036316618,Spacious 2BR + Parking | 10 mins to Finch Station,Unknown,Newtonbrook West,Entire home/apt,345.0,1.0,10,1.18,1,154,16284.000000000002
1427981440211815407,Modern Midtown Apartment,Unknown,Yonge-Eglinton,Entire home/apt,128.0,28.0,1,0.13,1,300,665.6
1428378029388746817,Modern 1BR Condo • Free Parking • Prime Location,Unknown,Waterfront Communities-The Island,Entire home/apt,259.0,2.0,26,3.06,1,325,31701.600000000002
1428398564424612514,3 Beds | Parking | 5MINS to Bessarion Subway,Unknown,Bayview Village,Private room,107.0,1.0,35,3.7,2,72,15836.000000000004
1428428723349283616,Relaxed atmosphere in Toronto,Unknown,St.Andrew-Windfields,Private room,45.0,28.0,0,0.0,3,48,0.0
1428434080749964283,Yonge St 12 Feet w King Bed  3A,Unknown,Bay Street Corridor,Private room,200.0,1.0,16,1.77,34,173,14160.000000000002
1428503131088548063,Cozy private bedroom & washroom,Unknown,Flemingdon Park,Private room,61.0,28.0,1,0.12,3,239,292.8
1428523982656451637,Private Suite with Separate Entrance,Unknown,Weston-Pellam Park,Private room,112.0,3.0,3,0.4,1,136,1792.0000000000005
1428633910482420600,Dec Deal/Rogers Center/CN Tower/Shopping,Unknown,Waterfront Communities-The Island,Entire home/apt,557.0,2.0,25,2.95,1,38,65726.00000000001
1428882528891407213,2 Bedroom Apartment All-Inclusive,Unknown,Newtonbrook East,Entire home/apt,90.0,30.0,1,0.14,3,323,504.00000000000006
1428957716449636901,Cozy 3-floor Townhouse@Midtown,Unknown,Mount Pleasant West,Entire home/apt,222.0,3.0,25,2.54,1,75,22555.2
1428970327775174338,"Jason 3-bedroom, sleeps 12",Unknown,Waterfront Communities-The Island,Entire home/apt,737.0,31.0,0,0.0,1,365,0.0
1429111874468136414,"Queen Ensuite | Steps to Finch Station, North York",Unknown,Newtonbrook East,Private room,138.0,1.0,10,1.03,3,209,5685.6
1429216347334054669,16-106 Room With shared washroom,Unknown,Kensington-Chinatown,Private room,52.0,28.0,0,0.0,109,295,0.0
1429231797015082721,Cozy King Room with Private Bathroom - Lower level,Unknown,Parkwoods-Donalda,Private room,105.0,28.0,1,0.15,1,365,630.0
1429277086693289966,2b Apartment in Downtown near Toronto Stadium,Unknown,Waterfront Communities-The Island,Entire home/apt,463.0,2.0,22,2.43,1,51,45003.600000000006
1429287033451897816,Cozy stay in East York Toronto(private basement),Unknown,O'Connor-Parkview,Entire home/apt,160.0,2.0,21,2.27,1,338,14528.000000000002
1429301813181466627,16-305,Unknown,Kensington-Chinatown,Private room,52.0,28.0,0,0.0,109,296,0.0
1429302556263827709,16-306,Unknown,Kensington-Chinatown,Private room,32.0,28.0,1,0.11,109,337,140.8
1429326692074334984,Modern Private Suite | Quiet Comfortable Stay,Unknown,Danforth,Entire home/apt,124.0,2.0,10,2.46,1,137,12201.6
1429341809949657346,Entire Downtown Apartment with Parking,Unknown,Waterfront Communities-The Island,Entire home/apt,257.0,1.0,37,3.74,1,18,38447.200000000004
1429365622911917929,Jade House 3 master bedroom,Unknown,Tam O'Shanter-Sullivan,Private room,82.0,30.0,0,0.0,3,270,0.0
1429772420518627627,Seraya Wellness Retreat,Unknown,Princess-Rosethorn,Entire home/apt,314.0,1.0,14,1.83,1,302,22984.8
1430027147104652045,The Hidden Hearth 2Bed 2Bath Downtown TO,Unknown,Church-Yonge Corridor,Entire home/apt,278.0,1.0,22,2.27,1,106,25242.4
1430176548361129839,"Comfy Private Bed & Bath, Close to Everything",Unknown,Palmerston-Little Italy,Private room,151.0,1.0,41,4.3,3,212,25972.0
1430424143641633569,Executive condo in downtown,Unknown,Bay Street Corridor,Entire home/apt,179.0,28.0,0,0.0,2,300,0.0
1430494960178711919,North York house - Private room 2,Unknown,Willowdale West,Private room,129.0,4.0,3,0.35,3,353,1805.9999999999998
1430528547563925025,Designer King East 1BR Condo • Parking • Best View,Unknown,Moss Park,Entire home/apt,340.0,2.0,32,3.5,1,339,47600.0
1430545166821422559,Modern Condo 2BR 2BA with Balcony and Free Parking,Unknown,Waterfront Communities-The Island,Entire home/apt,396.0,3.0,16,1.68,1,264,26611.2
1430615617796145609,"Private 1Bdrm Suite, Central, Walk to Subway",Unknown,Willowdale East,Entire home/apt,189.0,1.0,32,3.45,1,206,26082.000000000004
1430641699478072355,Private Basement near the Airport.,Unknown,Rexdale-Kipling,Private room,108.0,1.0,3,0.32,2,360,1382.4
1430650206369280869,Master bedroom with attached washroom,Unknown,Flemingdon Park,Private room,58.0,28.0,1,0.16,3,258,371.20000000000005
1430659703924932306,"Well appointed, private Studio",Unknown,Woodbine Corridor,Entire home/apt,67.0,28.0,6,0.68,1,230,1822.4
1430679219028501275,"2 Bedroom basement unit. 
Walk to Bluffs.",Unknown,Cliffcrest,Entire home/apt,104.0,28.0,8,0.89,1,353,3702.4
1430722967543786193,Stylish Condo-Yonge & Eglinton/Midtown Toronto,Unknown,Mount Pleasant West,Entire home/apt,301.0,2.0,23,2.46,1,328,29618.4
1430791911295178262,"Luxury 1BR W/WiFi AC Dogs & Kids OK , Toronto",Unknown,Corso Italia-Davenport,Private room,79.0,30.0,0,0.0,2,327,0.0
1430799197909598223,City-Chic 2BR Condo Steps to CN Tower & MTCC,Unknown,Waterfront Communities-The Island,Entire home/apt,181.0,28.0,21,2.39,1,289,17303.600000000002
1431066448552481937,1BR Condo w/ Balcony/Pool/Parking,Unknown,Waterfront Communities-The Island,Entire home/apt,106.0,30.0,0,0.0,1,330,0.0
1431070569863091808,Stylish Downtown 2BR with Fast Wi-Fi and Parking,Unknown,Waterfront Communities-The Island,Entire home/apt,113.0,1.0,26,2.81,1,140,12701.2
1431161407157755374,Entire House in Bayview village,Unknown,Bayview Village,Entire home/apt,243.0,28.0,1,0.12,1,263,1166.3999999999999
1431232727276042330,"1. Queen bed room, full bathroom all private.",Unknown,Edenbridge-Humber Valley,Private room,205.0,1.0,14,1.55,2,104,12710.000000000002
1431245448252584151,Amazing Liberty Village condo,Unknown,Niagara,Entire home/apt,221.0,28.0,1,0.33,2,255,2917.2000000000003
1431253559281089323,Luxury Central 3bed 3bath | 6ppl | Parking & Gym,Unknown,Bay Street Corridor,Entire home/apt,503.0,28.0,0,0.0,13,314,0.0
1431254703597887618,Modern Clean Midtown Private Suite free parking,Unknown,Briar Hill-Belgravia,Entire home/apt,285.0,2.0,26,3.0,1,347,34200.0
1431325239061721627,Bright Beaches Apt & Garden,Unknown,The Beaches,Entire home/apt,160.0,1.0,34,3.72,1,9,23808.0
1431346137732405616,New! | Downtown High-Floor Condo,Unknown,Bay Street Corridor,Entire home/apt,386.0,1.0,19,2.05,1,168,31652.0
1431408940964678590,2 bedroom & 2 washroom apartment,Unknown,Flemingdon Park,Entire home/apt,122.0,28.0,0,0.0,3,196,0.0
1431434901935403112,Luxe High Rise Lakeview Penthouse by the Water,Unknown,Niagara,Entire home/apt,144.0,30.0,0,0.0,26,271,0.0
1431446890122393708,Cozy 2 Bedroom Townhouse,Unknown,York University Heights,Entire home/apt,211.0,3.0,17,1.88,1,77,15867.2
1431675526218490632,3 BR Modern Newly Renovated Toronto Home,Unknown,Clairlea-Birchmount,Entire home/apt,121.0,28.0,2,0.27,2,231,1306.8000000000002
1431745936052457638,Elegant 2 BR Main floor- with parking,Unknown,O'Connor-Parkview,Entire home/apt,237.0,1.0,9,1.38,1,169,13082.4
1431826695060146849,2 Bed|Newly Reno'd|Free Parking|50inch TV,Unknown,Islington-City Centre West,Entire home/apt,206.0,28.0,2,0.22,9,323,1812.8000000000002
1431981375983322787,Basement Spacious Ensuite in Lawrence Park,Unknown,Lawrence Park South,Private room,82.0,28.0,0,0.0,4,90,0.0
1432006744717572363,Basement Ensuite (Lawrence Park),Unknown,Lawrence Park South,Private room,82.0,28.0,0,0.0,4,365,0.0
1432123917463193774,New bedroom private bathroom near YZD and Yorkdale,Unknown,Bathurst Manor,Private room,137.0,1.0,4,0.46,3,270,2520.8
1432190130618316782,Sunny Corner Room with View,Unknown,Bendale,Private room,70.0,1.0,48,5.0,1,13,14000.0
1432191361905054035,Cozy place,Unknown,Rouge,Entire home/apt,822.0,1.0,13,1.71,1,303,56224.8
1432222340814260712,Cozy and comfortable 3BR/2BA house,Unknown,Birchcliffe-Cliffside,Entire home/apt,133.0,28.0,0,0.0,1,365,0.0
1432535702205252863,Skyline Views Downtown | CN Tower + Lakefront,Unknown,Waterfront Communities-The Island,Entire home/apt,344.0,1.0,42,4.41,1,129,60681.6
1432579198562585052,Bright 2BR 2Bath Entire Suite Toronto Miliken Go,Unknown,Steeles,Entire home/apt,93.0,28.0,12,1.26,1,365,4687.200000000001
1432601083643251510,Stellar Humber Bay 2BD/2BTH Large Patio & Parking,Unknown,Mimico (includes Humber Bay Shores),Entire home/apt,410.0,1.0,31,3.32,1,90,54447.99999999999
1432610335814601703,4 Bedroom next to Kennedy/Eglinton GO in Toronto,Unknown,Ionview,Entire home/apt,386.0,2.0,21,2.21,2,282,34122.4
1432674588202013792,Downtown Toronto: Skyline View!,Unknown,Waterfront Communities-The Island,Entire home/apt,138.0,28.0,1,0.68,1,343,3753.6000000000004
1432729124114647626,LUX 5000SF 5 BDRM Smart Home North York,Unknown,Lansing-Westgate,Entire home/apt,738.0,3.0,5,0.64,1,171,18892.8
1432833648270475016,Bellagio off Bathurst,Unknown,Kensington-Chinatown,Entire home/apt,514.0,1.0,20,2.28,1,66,46876.8
1433584329558381591,"Two Bdrm condo with free P, WIFI, Big Balcony",Unknown,Steeles,Entire home/apt,274.0,1.0,44,5.12,12,87,56115.200000000004
1433638957533128433,Traveler room. closer to subway,Unknown,Stonegate-Queensway,Private room,29.0,29.0,1,0.19,2,62,220.40000000000003
1433662253465754161,Toronto Financial District St Lawrence CNTower 2bd,Unknown,Moss Park,Entire home/apt,181.0,28.0,0,0.0,2,140,0.0
1433678417166928565,"Cozy 3-Bedroom Home, Free Parking",Unknown,Oakridge,Entire home/apt,337.0,2.0,12,1.29,1,306,17389.2
1433735393616328683,3BR | Lake & CN Tower View| 8 Guest | Free Parking,Unknown,Niagara,Entire home/apt,333.0,1.0,6,0.65,1,350,8658.000000000002
1434014921192133287,Serene Scarborough 2BR Retreat Near Parks & DT,Unknown,Wexford/Maryvale,Entire home/apt,99.0,28.0,0,0.0,1,365,0.0
1434032577303175619,CN Tower View w/Indoor Basketball + Parking,Unknown,Waterfront Communities-The Island,Entire home/apt,134.0,2.0,26,2.82,1,241,15115.199999999999
1434068400349751310,Cozy Corner Retreat: Explore Downtown Toronto,Unknown,Church-Yonge Corridor,Private room,101.0,28.0,0,0.0,1,40,0.0
